"","STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","weather_condition"
"1","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-01-01",15.88,",,W",NA,"",0.38,",,W,2400",0,",,W",47,"H,,S",59,",,W",34,",,W",290,",,W",290,",,W",35.1,",,W",47,",,W",1,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","No Snow"
"2","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-01-02",9.4,",,W",NA,"",0,",,W,2400",0,",,W",33,"H,,S",37,",,W",28,",,W",310,",,W",330,",,W",18.1,",,W",23,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","No Snow"
"3","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-01-03",10.51,",,W",NA,"",0.02,",,W,2400",0,"T,,W",38,"H,,S",46,",,W",32,",,W",320,",,W",320,",,W",19.9,",,W",27.1,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","No Snow"
"4","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-01-04",11.18,",,W",NA,"",0,",,W,2400",0,",,W",40,"H,,S",48,",,W",34,",,W",230,",,W",220,",,W",23.9,",,W",30,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","No Snow"
"5","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-01-05",9.17,",,W",NA,"",0.53,",,W,2400",0,",,W",41,"H,,S",43,",,W",38,",,W",360,",,W",360,",,W",18.1,",,W",21.9,",,W",1,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","No Snow"
"6","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-01-06",14.32,",,W",NA,"",0,",,W,2400",0,",,W",40,"H,,S",47,",,W",25,",,W",310,",,W",310,",,W",30,",,W",40.9,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","No Snow"
"7","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-01-07",11.63,",,W",NA,"",0,",,W,2400",0,",,W",26,"H,,S",31,",,W",19,",,W",320,",,W",310,",,W",29.1,",,W",38.9,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","No Snow"
"8","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-01-08",7.61,",,W",NA,"",0.02,",,W,2400",0,"T,,W",34,"H,,S",43,",,W",30,",,W",160,",,W",160,",,W",17,",,W",21,",,W",1,",,W",1,",,W",NA,"",NA,"",NA,"",NA,"",1,",,W",NA,"","No Snow"
"9","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-01-09",15.66,",,W",NA,"",0.13,",,W,2400",0,",,W",40,"H,,S",46,",,W",35,",,W",270,",,W",270,",,W",29.1,",,W",40,",,W",1,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","No Snow"
"10","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-01-10",16.11,",,W",NA,"",0,"T,,W,2400",0,"T,,W",36,"H,,S",37,",,W",26,",,W",290,",,W",330,",,W",25.1,",,W",35.1,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","No Snow"
